video_id,content_type,target_query,transcript_kind,clip_index,t_start,t_end,duration_sec,label,boundary_quality,whisper_first_word,whisper_last_word,start_precision_ms,end_precision_ms,starts_mid_word,ends_mid_sentence,starts_on_filler,is_usable,error,opens_on_topic,topic_concentration,has_definition,structural_label,discourse_marker_density,usable_clip
IHZwWFHWa-w,lecture,gradient descent,asr_local,1,450.01,473.37,23.360000000000014,Most Quickly Direction Vector,whisper-word,gradient,is.,60.000000000002274,20.000000000038654,True,False,False,False,,True,1.0,False,substantive,0.0,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,2,646.46,692.21,45.75,,whisper-word,gradient,buck?,59.99999999994543,59.99999999994543,True,False,False,False,,True,1.0,True,substantive,1.5151515151515151,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,3,762.57,793.02,30.449999999999932,,whisper-word,the,before?,59.99999999994543,19.99999999998181,True,False,False,False,,False,1.0,False,substantive,0.0,False
IHZwWFHWa-w,lecture,gradient descent,asr_local,4,762.58,792.98,30.399999999999977,All These Changes Matter,whisper-word,the,before?,59.99999999994543,9.999999999990905,True,False,False,False,,False,1.0,False,substantive,0.0,False
UF8uR6Z6KLc,speech,stay hungry stay foolish,asr_local,1,849.29,899.41,50.120000000000005,Stay Hungry,whisper-word,stay,University.,80.00000000004093,159.99999999996817,False,False,False,True,,True,1.0,False,substantive,0.0,True
UF8uR6Z6KLc,speech,stay hungry stay foolish,asr_local,2,849.29,870.05,20.75999999999999,,whisper-word,stay,foolish.,59.99999999994543,39.99999999996362,False,False,False,True,,True,1.0,False,substantive,0.0,True
UF8uR6Z6KLc,speech,stay hungry stay foolish,asr_local,3,849.67,871.99,22.32000000000005,,whisper-word,"hungry,",much.,600.0000000000227,40.00000000007731,True,False,False,False,,True,1.0,False,substantive,0.0,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,1,311.32,353.02,41.69999999999999,When Ask Connection,whisper-word,"shame,",it.,60.000000000002274,39.99999999996362,True,False,False,False,,True,1.0,False,substantive,0.0,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,2,311.32,356.52,45.19999999999999,,whisper-word,"shame,",excited.,60.000000000002274,39.99999999996362,True,False,False,False,,True,1.0,False,substantive,0.0,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,3,591.73,614.25,22.519999999999982,Strong Sense,whisper-word,vulnerability.,interviewing.,39.99999999996362,0.0,False,False,False,True,,True,1.0,False,substantive,0.0,True
iCvmsMzlF7o,speech,vulnerability shame,asr_local,4,870.23,894.71,24.480000000000018,Want Feel Numb Perfect,whisper-word,vulnerability?,responses.,59.99999999994543,60.00000000005912,True,False,False,False,,True,1.0,False,substantive,0.0,False
iCvmsMzlF7o,speech,vulnerability shame,asr_local,5,870.23,898.63,28.399999999999977,,whisper-word,vulnerability?,Here.,59.99999999994543,19.99999999998181,True,False,False,False,,True,1.0,False,substantive,1.0869565217391304,False
8KkKuTCFvzI,speech,good life relationships,asr_local,1,305.473,328.773,23.30000000000001,,whisper-word,life,rooms.,40.000000000020464,50.00000000001137,False,False,False,True,,True,1.0,False,substantive,0.0,True
8KkKuTCFvzI,speech,good life relationships,asr_local,2,305.473,352.393,46.91999999999996,These Teenagers Lonely,whisper-word,my,learned?,79.99999999998408,29.999999999972715,True,False,False,False,,True,0.8403361344537815,False,substantive,0.8403361344537815,False
